Player,Team,Pos,FPPG,FPPM,G,MPG,PPG,RPG,APG,BPG,SPG,OWN,ADP,CON,Poss/G,FPPP,Age
S. Ojeleye, BOS, F ,4.9,0.34,69,14.6,3.4,2.1,0.5,0.1,0.3,4.7,450,$1.8M,30.4,0.16,25
J. Wright-Foreman, UTA, G ,4.9,0.43,4,11.3,4.8,1.3,1.8,0,0.5,1.3,450,$-M,23.5,0.21,22.1
J. Green, BOS, GF ,4.9,0.5,48,9.7,3.4,1.9,0.5,0.2,0.5,2.7,450,$1.5M,20.6,0.24,26.4
Q. Cook, LAL, G ,4.8,0.42,44,11.5,5.1,1.2,1.1,0,0.3,5.3,450,$1.0M,24.9,0.19,26.7
D. Wilson, MIL, FC ,4.8,0.48,37,9.8,3.6,2.5,0.7,0.1,0.1,8,450,$4.5M,22,0.22,23.8
D. Jeffries, SAC, GF ,4.8,0.45,13,10.9,3.8,1.4,0.5,0.1,0.3,0.7,450,$-M,23.8,0.2,22.3
T. Sefolosha, HOU, F ,4.7,0.44,41,10.6,2.2,2.3,0.6,0.3,0.6,2,450,$0.0M,23.3,0.2,35.6
C. Metu, SAS, FC ,4.7,0.81,18,5.8,3.2,1.8,0.6,0.3,0.2,4.7,450,$1.7M,12.6,0.38,22.7
G. Bitadze, IND, C ,4.7,0.54,54,8.7,3.2,2,0.4,0.7,0.2,30,224,$3.0M,18.6,0.25,20.4
J. Brantley, UTA, F ,4.7,0.44,9,10.7,2.7,2.2,1.2,0.6,0.3,2,450,$-M,22.3,0.21,23.5
M. Guduric, MEM, GF ,4.7,0.43,44,11,3.9,1.7,1,0.2,0.3,4.7,450,$2.8M,24.1,0.19,24.8
T. Ferguson, OKL, F ,4.6,0.2,56,22.5,3.9,1.3,0.9,0.3,0.5,6,450,$3.9M,46.3,0.1,21.6
D. Hannahs, MEM, G ,4.6,0.68,2,6.7,6,0.5,0,0,0,0,450,$-M,15,0.3,26.3
C. Clemons, HOU, G ,4.6,0.53,33,8.8,4.9,0.9,0.8,0.2,0.3,6,450,$1.5M,19.4,0.24,22.4
J. Hoard, POR, GF ,4.6,0.58,13,7.9,2.9,2.5,0.3,0,0.4,2,450,$-M,16.9,0.27,20.7
T. Leaf, IND, FC ,4.5,0.57,28,7.9,3,2.5,0.3,0.1,0.4,17.3,235.9,$4.3M,16.8,0.27,22.6
J. Grant, WAS, G ,4.4,0.33,6,13.4,4.5,1,1.5,0.2,0.2,1.3,450,$1.9M,28.5,0.15,27.2
J. Evans, GSW, G ,4.4,0.3,29,14.4,4.4,1.4,1.1,0.4,0.4,3.3,450,$2.0M,30.6,0.14,22.5
A. Johnson, IND, F ,4.4,0.63,17,6.9,2,2.8,0.4,0.1,0.2,1.3,450,$0.0M,15.2,0.29,23.7
P. Watson, ATL, F ,4.4,0.51,10,8.7,3.1,1.7,0.8,0.1,0.4,1.3,450,$0.0M,19.3,0.23,25
T. Jerome, PHO, GF ,4.3,0.41,31,10.6,3.3,1.5,1.4,0.1,0.5,12,450,$2.3M,22.7,0.19,22.5
J. Nowell, MIN, G ,4.3,0.43,15,10.1,3.8,0.9,1.3,0.1,0.2,1.3,450,$1.5M,22.1,0.19,20.4
M. Oni, UTA, GF ,4.3,0.4,10,10.9,3.5,1.7,0.4,0.2,0.4,4,450,$1.5M,23,0.19,22.4
T. Pinson, BKL, G ,4.2,0.38,33,11.1,3.6,1.6,1.7,0.1,0.5,2,450,$1.7M,23.5,0.18,24.1
T. Chandler, HOU, C ,4.1,0.49,26,8.4,1.3,2.5,0.2,0.3,0.2,6,450,$0.0M,18.7,0.22,37.2
M. Kidd-Gilchrist, CHA, F ,4,0.35,25,11.2,2.4,2.7,0.6,0.2,0.1,4.7,450,$-M,23.3,0.17,26.2
N. Mitrou-Long, IND, G ,4,0.43,5,9.4,2.8,1.4,1.6,0.2,0.2,0,450,$1.6M,20,0.2,26.4
T. Mann, LAC, GF ,4,0.46,41,8.8,2.4,1.3,1.3,0.1,0.3,9.3,450,$1.5M,19.3,0.21,23.2
T. Daniels, LAL, GF ,3.9,0.35,47,11.3,4.3,1.1,0.4,0.1,0.2,2,450,$-M,24.2,0.16,28.4
V. Poirier, BOS, C ,3.9,0.63,21,6.2,2,2,0.4,0.4,0.1,10,450,$2.6M,13.2,0.29,26.2
L. Thomas, BKL, F ,3.8,0.27,7,14,3.4,1.9,0.9,0,0,0,450,$-M,32.1,0.12,31.7
J. Anderson, BKL, GF ,3.7,0.35,10,10.7,2.8,2.1,0.8,0.6,0,0.7,450,$-M,24.8,0.15,26.1
M. Kabengele, LAC, C ,3.7,0.68,12,5.4,3.5,0.9,0.2,0.2,0.2,14.7,450,$2.1M,12.3,0.3,22.4
A. Schofield, WAS, F ,3.7,0.33,33,11.2,3,1.4,0.5,0.1,0.2,7.3,450,$1.5M,24.3,0.15,22.7
T. Waters, BOS, G ,3.5,0.33,11,10.8,3.6,1.1,1.5,0.2,0.9,5.3,450,$0.0M,22.5,0.16,21.9
D. Hernandez, TOR, C ,3.5,0.74,6,4.7,2.3,2.3,0.5,0,0.2,3.3,450,$1.5M,10.2,0.34,23
C. Parsons, ATL, F ,3.4,0.31,5,10.8,2.8,1.4,0.6,0.2,0.8,0,450,$-M,23.6,0.14,31.2
W. Gabriel, SAC, F ,3.4,0.43,30,7.8,2.1,1.7,0.3,0.2,0.4,1.3,450,$0.0M,16.9,0.2,22.7
B. Johnson, ORL, F ,3.4,0.37,11,9.3,3.5,2,0.4,0,0.4,0.7,450,$-M,19.2,0.18,24
C. Edwards, BOS, G ,3.4,0.36,37,9.5,3.3,1.3,0.6,0.1,0.3,12.7,450,$1.5M,20.1,0.17,21.8
D. Wade, CLE, F ,3.4,0.57,12,6,1.7,1.6,0.2,0.3,0.2,1.3,450,$1.5M,12.5,0.27,23.1
T. Antetokounmpo, MIL, GF ,3.3,0.51,20,6.4,2.8,1.2,0.8,0.1,0.4,7.3,450,$1.7M,14.6,0.22,27.4
C. Randle, GSW, G ,3.3,0.25,3,13.5,1.7,0.7,1.7,0,0.7,0.7,450,$-M,26.7,0.13,26.9
A. Coffey, LAC, F ,3.3,0.37,18,8.8,3.2,0.9,0.8,0.1,0.3,1.3,450,$0.0M,19.1,0.17,22.5
T. Wallace, ATL, G ,3.2,0.28,14,11.5,2.9,1.6,0.9,0.1,0.5,0,450,$-M,24.7,0.13,25.5
A. Mokoka, CHI, GF ,3.2,0.32,11,10.2,2.9,0.9,0.4,0,0.4,0.7,450,$0.0M,21.4,0.15,21.4
R. Tucker, UTA, GF ,3.2,0.38,19,8.5,3.3,1.1,0.3,0.1,0.1,2.7,450,$1.4M,17.6,0.18,22.2
S. Johnson, TOR, F ,3.1,0.52,25,6,2.4,1.5,0.8,0.2,0.2,6,450,$3.8M,13,0.24,23.6
D. Walton Jr., LAC, G ,3.1,0.33,26,9.5,2,0.6,1,0,0.3,0,450,$-M,20.7,0.15,24.7
J. Dudley, LAL, F ,3,0.37,45,8.1,1.5,1.2,0.6,0.1,0.3,0.7,450,$1.6M,17.4,0.17,34.5
